Dataset,Modality,Method,Stage,Fold,Accuracy,Positive F1,Precision,Recall,Macro-F1,Negative F1,AUROC,Support Negative,Support Positive,Confusion Matrix,Invalid Qwen Outputs,Fold Coverage,Protocol
daic,audio_only,logreg,cv,4,0.6785714285714286,0.18181818181818182,0.3333333333333333,0.125,0.49090909090909085,0.7999999999999999,0.49375,20,8,"[[18, 2], [7, 1]]",0,1,symmetric_merged_cv
daic,audio_only,xgb_fixed,cv,4,0.6071428571428571,0.15384615384615385,0.2,0.125,0.4490161001788909,0.7441860465116279,0.55625,20,8,"[[16, 4], [7, 1]]",0,1,symmetric_merged_cv
daic,audio_only,xgb_optuna,cv,4,0.6071428571428571,0.15384615384615385,0.2,0.125,0.4490161001788909,0.7441860465116279,0.475,20,8,"[[16, 4], [7, 1]]",0,1,symmetric_merged_cv
cmdc,audio_only,qwen,cv,4,0.8666666666666667,0.7499999999999999,1.0,0.6,0.8295454545454545,0.9090909090909091,1.0,10,5,"[[10, 0], [2, 3]]",0,1,symmetric_merged_cv
cmdc,audio_only,logreg,cv,4,0.9333333333333333,0.888888888888889,1.0,0.8,0.9206349206349207,0.9523809523809523,1.0,10,5,"[[10, 0], [1, 4]]",0,1,symmetric_merged_cv
cmdc,audio_only,xgb_fixed,cv,4,0.9333333333333333,0.888888888888889,1.0,0.8,0.9206349206349207,0.9523809523809523,1.0,10,5,"[[10, 0], [1, 4]]",0,1,symmetric_merged_cv
cmdc,audio_only,xgb_optuna,cv,4,0.9333333333333333,0.888888888888889,1.0,0.8,0.9206349206349207,0.9523809523809523,1.0,10,5,"[[10, 0], [1, 4]]",0,1,symmetric_merged_cv
turkish,audio_only,qwen,cv,4,0.7391304347826086,0.8421052631578948,0.7272727272727273,1.0,0.5460526315789473,0.25,0.5,7,16,"[[1, 6], [0, 16]]",0,1,symmetric_merged_cv
turkish,audio_only,logreg,cv,4,0.6956521739130435,0.8108108108108109,0.7142857142857143,0.9375,0.5165165165165165,0.22222222222222224,0.5446428571428571,7,16,"[[1, 6], [1, 15]]",0,1,symmetric_merged_cv
turkish,audio_only,xgb_fixed,cv,4,0.7391304347826086,0.8421052631578948,0.7272727272727273,1.0,0.5460526315789473,0.25,0.5892857142857143,7,16,"[[1, 6], [0, 16]]",0,1,symmetric_merged_cv
turkish,audio_only,xgb_optuna,cv,4,0.7391304347826086,0.8421052631578948,0.7272727272727273,1.0,0.5460526315789473,0.25,0.5892857142857143,7,16,"[[1, 6], [0, 16]]",0,1,symmetric_merged_cv
d3tec,audio_only,qwen,cv,4,0.5454545454545454,0.4444444444444445,0.5,0.4,0.5299145299145299,0.6153846153846153,0.5666666666666667,6,5,"[[4, 2], [3, 2]]",0,1,symmetric_merged_cv
d3tec,audio_only,logreg,cv,4,0.5454545454545454,0.5454545454545454,0.5,0.6,0.5454545454545454,0.5454545454545454,0.6333333333333333,6,5,"[[3, 3], [2, 3]]",0,1,symmetric_merged_cv
d3tec,audio_only,xgb_fixed,cv,4,0.5454545454545454,0.5454545454545454,0.5,0.6,0.5454545454545454,0.5454545454545454,0.6,6,5,"[[3, 3], [2, 3]]",0,1,symmetric_merged_cv
d3tec,audio_only,xgb_optuna,cv,4,0.5454545454545454,0.5454545454545454,0.5,0.6,0.5454545454545454,0.5454545454545454,0.6,6,5,"[[3, 3], [2, 3]]",0,1,symmetric_merged_cv
androids_interview,audio_only,qwen,cv,4,0.9130434782608695,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9128787878787878,0.9166666666666666,0.9621212121212122,12,11,"[[11, 1], [1, 10]]",0,1,symmetric_merged_cv
androids_interview,audio_only,logreg,cv,4,0.8260869565217391,0.7999999999999999,0.8888888888888888,0.7272727272727273,0.823076923076923,0.8461538461538461,0.9545454545454546,12,11,"[[11, 1], [3, 8]]",0,1,symmetric_merged_cv
androids_interview,audio_only,xgb_fixed,cv,4,0.9130434782608695,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9128787878787878,0.9166666666666666,0.9696969696969697,12,11,"[[11, 1], [1, 10]]",0,1,symmetric_merged_cv
androids_interview,audio_only,xgb_optuna,cv,4,0.9130434782608695,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9128787878787878,0.9166666666666666,0.9696969696969697,12,11,"[[11, 1], [1, 10]]",0,1,symmetric_merged_cv
daic,text_only,qwen,cv,0,0.7931034482758621,0.5714285714285714,0.8,0.4444444444444444,0.7175324675324675,0.8636363636363635,0.7972222222222223,20,9,"[[19, 1], [5, 4]]",0,1,symmetric_merged_cv
daic,text_only,logreg,cv,0,0.7931034482758621,0.6250000000000001,0.7142857142857143,0.5555555555555556,0.7410714285714286,0.8571428571428572,0.7277777777777777,20,9,"[[18, 2], [4, 5]]",0,1,symmetric_merged_cv
daic,text_only,xgb_fixed,cv,0,0.8275862068965517,0.7058823529411765,0.75,0.6666666666666666,0.7919655667144907,0.8780487804878048,0.8388888888888889,20,9,"[[18, 2], [3, 6]]",0,1,symmetric_merged_cv
daic,text_only,xgb_optuna,cv,0,0.8620689655172413,0.75,0.8571428571428571,0.6666666666666666,0.8273809523809523,0.9047619047619048,0.8388888888888889,20,9,"[[19, 1], [3, 6]]",0,1,symmetric_merged_cv
cmdc,text_only,qwen,cv,0,0.9411764705882353,0.9090909090909091,1.0,0.8333333333333334,0.9328063241106719,0.9565217391304348,1.0,11,6,"[[11, 0], [1, 5]]",0,1,symmetric_merged_cv
cmdc,text_only,logreg,cv,0,0.9411764705882353,0.9090909090909091,1.0,0.8333333333333334,0.9328063241106719,0.9565217391304348,1.0,11,6,"[[11, 0], [1, 5]]",0,1,symmetric_merged_cv
cmdc,text_only,xgb_fixed,cv,0,0.9411764705882353,0.9090909090909091,1.0,0.8333333333333334,0.9328063241106719,0.9565217391304348,1.0,11,6,"[[11, 0], [1, 5]]",0,1,symmetric_merged_cv
cmdc,text_only,xgb_optuna,cv,0,0.9411764705882353,0.9090909090909091,1.0,0.8333333333333334,0.9328063241106719,0.9565217391304348,1.0,11,6,"[[11, 0], [1, 5]]",0,1,symmetric_merged_cv
turkish,text_only,qwen,cv,0,0.36,0.2727272727272727,0.6,0.17647058823529413,0.3506493506493506,0.4285714285714285,0.5992647058823529,8,17,"[[6, 2], [14, 3]]",0,1,symmetric_merged_cv
turkish,text_only,logreg,cv,0,0.64,0.6896551724137931,0.8333333333333334,0.5882352941176471,0.6305418719211823,0.5714285714285714,0.6397058823529411,8,17,"[[6, 2], [7, 10]]",0,1,symmetric_merged_cv
turkish,text_only,xgb_fixed,cv,0,0.64,0.6896551724137931,0.8333333333333334,0.5882352941176471,0.6305418719211823,0.5714285714285714,0.5808823529411765,8,17,"[[6, 2], [7, 10]]",0,1,symmetric_merged_cv
turkish,text_only,xgb_optuna,cv,0,0.64,0.6896551724137931,0.8333333333333334,0.5882352941176471,0.6305418719211823,0.5714285714285714,0.5882352941176471,8,17,"[[6, 2], [7, 10]]",0,1,symmetric_merged_cv
d3tec,text_only,qwen,cv,0,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6904761904761905,0.7142857142857143,0.8095238095238095,7,6,"[[5, 2], [2, 4]]",0,1,symmetric_merged_cv
d3tec,text_only,logreg,cv,0,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6904761904761905,0.7142857142857143,0.7380952380952381,7,6,"[[5, 2], [2, 4]]",0,1,symmetric_merged_cv
d3tec,text_only,xgb_fixed,cv,0,0.7692307692307693,0.7692307692307692,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.7692307692307692,0.7142857142857143,7,6,"[[5, 2], [1, 5]]",0,1,symmetric_merged_cv
d3tec,text_only,xgb_optuna,cv,0,0.7692307692307693,0.7692307692307692,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.7692307692307692,0.6904761904761905,7,6,"[[5, 2], [1, 5]]",0,1,symmetric_merged_cv
androids_interview,text_only,qwen,cv,0,0.8333333333333334,0.8,1.0,0.6666666666666666,0.8285714285714285,0.8571428571428571,0.9583333333333334,12,12,"[[12, 0], [4, 8]]",0,1,symmetric_merged_cv
